PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliation,Corresponding Author Email
40145190,Sample Title 40145190,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40145185,Sample Title 40145185,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40145156,Sample Title 40145156,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40145150,Sample Title 40145150,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40145145,Sample Title 40145145,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40145101,Sample Title 40145101,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40145100,Sample Title 40145100,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40145099,Sample Title 40145099,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40145096,Sample Title 40145096,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40145094,Sample Title 40145094,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
