PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliation,Corresponding Author Email
40137428,Sample Title 40137428,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40137391,Sample Title 40137391,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40137371,Sample Title 40137371,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40137362,Sample Title 40137362,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40137318,Sample Title 40137318,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40137312,Sample Title 40137312,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40137310,Sample Title 40137310,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40137302,Sample Title 40137302,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40137299,Sample Title 40137299,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
40137294,Sample Title 40137294,27-03-2024,['Dr. John Doe'],['Pfizer'],johndoe@pfizer.com
